Semaine,stablecoin: (France)
2021-10-10,8
2021-10-17,19
2021-10-24,15
2021-10-31,16
2021-11-07,20
2021-11-14,16
2021-11-21,0
2021-11-28,18
2021-12-05,8
2021-12-12,12
2021-12-19,10
2021-12-26,24
2022-01-02,31
2022-01-09,28
2022-01-16,25
2022-01-23,23
2022-01-30,21
2022-02-06,25
2022-02-13,30
2022-02-20,26
2022-02-27,28
2022-03-06,30
2022-03-13,35
2022-03-20,23
2022-03-27,42
2022-04-03,29
2022-04-10,28
2022-04-17,21
2022-04-24,25
2022-05-01,24
2022-05-08,100
2022-05-15,35
2022-05-22,20
2022-05-29,21
2022-06-05,22
2022-06-12,17
2022-06-19,23
2022-06-26,17
2022-07-03,6
2022-07-10,0
2022-07-17,14
2022-07-24,19
2022-07-31,20
2022-08-07,17
2022-08-14,23
2022-08-21,15
2022-08-28,9
2022-09-04,5
2022-09-11,15
2022-09-18,0
2022-09-25,8
2022-10-02,30
